School Code,Test Year,Grade,Percentage Standard Met and Above
6008379,2022,5,0.88
106955,2023,5,1.12
6051395,2019,5,1.3
6106694,2019,5,1.37
6049803,2023,5,1.45
6041149,2022,5,1.47
6114300,2019,5,1.47
6032361,2023,5,1.49
6042758,2019,5,1.52
6035380,2023,5,1.54
6038418,2023,5,1.54
6052260,2019,5,1.54
6021687,2019,5,1.56
6035836,2022,5,1.56
120469,2019,5,1.59
110239,2019,5,1.61
115204,2019,5,1.61
118760,2023,5,1.61
6017586,2022,5,1.61
6054217,2019,5,1.64
6114672,2019,5,1.64
6002059,2019,5,1.67
6033179,2022,5,1.69
122143,2019,5,1.75
124818,2021,5,1.75
6004907,2022,5,1.75
6035307,2019,5,1.75
6053854,2021,5,1.75
6002059,2023,5,1.79
6001903,2022,5,1.82
6004832,2023,5,1.82
6008882,2019,5,1.85
6015861,2022,5,1.85
6042709,2022,5,1.85
6051148,2023,5,1.89
107441,2022,5,1.9
6002000,2019,5,1.92
6040752,2022,5,1.92
6004154,2021,5,1.94
6001929,2019,5,1.96
130732,2022,5,2
6035307,2023,5,2
6098487,2021,5,2.02
6001838,2019,5,2.04
6032247,2022,5,2.04
6041487,2023,5,2.04
6059299,2022,5,2.04
6001630,2023,5,2.08
6005011,2023,5,2.17
6006258,2019,5,2.17
6052104,2022,5,2.17
109496,2023,5,2.2
6001812,2019,5,2.22
6053037,2021,5,2.22
6017750,2023,5,2.27
6003610,2019,5,2.3
132530,2022,5,2.33
6006324,2022,5,2.33
6016208,2022,5,2.33
121053,2023,5,2.38
6017958,2019,5,2.38
6021919,2019,5,2.38
6034037,2022,5,2.38
6001879,2023,5,2.44
6004667,2023,5,2.44
6034920,2023,5,2.44
109355,2023,5,2.5
138834,2023,5,2.5
6004824,2019,5,2.5
6007967,2022,5,2.5
6018030,2023,5,2.5
6024046,2022,5,2.5
6031058,2023,5,2.5
6034029,2022,5,2.5
120097,2022,5,2.53
6118566,2019,5,2.53
121517,2019,5,2.56
6017586,2023,5,2.56
6025563,2021,5,2.56
6036768,2023,5,2.56
6003610,2023,5,2.6
135616,2023,5,2.63
139030,2021,5,2.63
6001879,2022,5,2.63
6018659,2023,5,2.63
6025035,2021,5,2.63
6019483,2019,5,2.67
6035034,2022,5,2.67
128371,2022,5,2.7
6010573,2022,5,2.7
6009013,2023,5,2.74
122945,2023,5,2.78
6001929,2023,5,2.78
6034037,2019,5,2.78
6035174,2023,5,2.78
6014492,2021,5,2.82
6117733,2022,5,2.82
115618,2022,5,2.86
6011357,2023,5,2.86
6018030,2019,5,2.86
6033807,2019,5,2.86
6049639,2022,5,2.86
6018519,2019,5,2.9
6049704,2023,5,2.9
139808,2022,5,2.94
6017610,2019,5,2.94
6019335,2022,5,2.94
6002075,2022,5,2.99
6120042,2021,5,2.99
1964733,2019,5,3.03
6001713,2023,5,3.03
6019632,2023,5,3.03
6033187,2023,5,3.03
6042501,2019,5,3.03
6054407,2022,5,3.03
6071443,2022,5,3.03
6108500,2023,5,3.03
6018360,2023,5,3.06
6036461,2022,5,3.06
6004907,2023,5,3.08
6006308,2019,5,3.08
6017362,2022,5,3.08
6020952,2023,5,3.08
6042717,2023,5,3.08
6044325,2023,5,3.08
6009757,2021,5,3.09
6019244,2019,5,3.09
129213,2022,5,3.13
6001689,2022,5,3.13
6014542,2022,5,3.13
6018030,2022,5,3.13
6053847,2022,5,3.13
6006217,2022,5,3.16
115600,2023,5,3.17
6021950,2019,5,3.17
6032171,2022,5,3.17
6117667,2021,5,3.17
6118566,2022,5,3.17
129858,2023,5,3.23
140319,2022,5,3.23
