County Code,District Code,School Code,Test Year,Grade,Percentage Standard Met and Above
34,67447,3430717,2022,5,39.86
33,10330,110833,2022,5,26.62
30,66464,106765,2022,5,33.13
19,65094,112706,2022,5,23.23
15,63628,134312,2022,5,37.45
10,62166,1030287,2022,5,9.19
37,68403,6120893,2022,5,32.39
33,66993,139360,2022,5,32.03
15,63628,138131,2022,5,33.43
37,68049,136416,2022,5,41.27
19,64733,6019715,2022,5,10.57
19,75309,131987,2022,5,37.68
33,67215,115709,2022,5,23.86
37,68049,132506,2022,5,36.96
19,64733,1933233,2022,5,43.86
36,67827,113928,2022,5,27.33
44,69807,110007,2022,5,56.89
36,67736,136069,2022,5,41.76
39,68627,127191,2022,5,28.57
19,64733,6061451,2022,5,4
37,68338,6061964,2022,5,31.82
51,71407,109793,2022,5,42.6
36,75051,139188,2022,5,28.51
19,64857,125377,2022,5,29.17
34,75283,3430659,2022,5,41.44
54,71837,109009,2022,5,27.72
9,61838,139006,2022,5,41.67
36,75051,115089,2022,5,39.77
37,68023,6037980,2022,5,21.05
10,62117,118018,2022,5,30.56
37,73569,136267,2022,5,43.17
37,10371,6119119,2022,5,41.49
37,68452,3730942,2022,5,32
33,67116,109843,2022,5,39.25
10,62547,135103,2022,5,36.14
36,75077,110866,2022,5,20.17
15,10157,119669,2022,5,23.94
36,67645,6110704,2022,5,33.1
19,64733,6016885,2022,5,21.33
31,66951,3130168,2022,5,43.61
37,68197,132290,2022,5,57.03
33,67207,101170,2022,5,10.71
7,10074,114470,2022,5,22.98
36,75077,3631207,2022,5,38.32
30,73643,121152,2022,5,68.82
51,71456,133934,2022,5,41.3
30,66670,6061741,2022,5,20.59
39,68650,125849,2022,5,35.42
36,67736,128439,2022,5,29.92
37,68098,6116776,2022,5,53.46
36,75077,122945,2022,5,5.08
54,72231,127621,2022,5,19.46
37,68023,6115778,2022,5,39.34
9,61838,136200,2022,5,35.86
34,76505,3430634,2022,5,17.65
51,71415,129007,2022,5,24.14
31,66928,121418,2022,5,54.76
37,68338,6059604,2022,5,46.52
33,67249,6114748,2022,5,23.2
39,10397,3930476,2022,5,24.59
36,67678,120329,2022,5,37.64
19,64733,108928,2022,5,55
36,67876,3630548,2022,5,11.54
37,68205,6038608,2022,5,22
43,69625,6068167,2022,5,74.19
30,10306,134239,2022,5,26.39
37,68197,132431,2022,5,23.08
36,75051,137794,2022,5,37.93
30,66647,6106009,2022,5,54.78
19,64733,119685,2022,5,7.14
39,68585,122580,2022,5,37.25
19,73452,120600,2022,5,26.73
37,68338,111898,2022,5,45.83
13,63180,6008593,2022,5,36.67
33,67215,131359,2022,5,63.46
37,68098,101535,2022,5,39.71
19,64733,6118186,2022,5,14.05
19,64584,1996305,2022,5,19.12
30,73643,6085377,2022,5,12.5
34,67314,3430352,2022,5,22.47
34,76505,101766,2022,5,30.81
15,10157,1530492,2022,5,25.35
48,70540,125310,2022,5,43.24
19,64451,6114235,2022,5,35.1
42,69203,6045520,2022,5,21.83
4,10041,114991,2022,5,37.5
34,76505,108415,2022,5,32.53
19,73445,6014294,2022,5,41.18
50,75572,5030317,2022,5,26.32
34,76505,6033336,2022,5,22.47
13,63131,6008502,2022,5,21.53
19,65136,117234,2022,5,26.32
19,64816,6020770,2022,5,9.09
1,61176,6000848,2022,5,76.92
19,64733,6019475,2022,5,13.89
19,64816,6020762,2022,5,10.71
19,64600,6095434,2022,5,59.26
36,75077,108423,2022,5,18.85
10,62166,6006084,2022,5,45
19,64667,6108526,2022,5,10.68
19,64907,115170,2022,5,22.73
39,68627,126755,2022,5,18.75
10,62331,137661,2022,5,21.25
33,67033,113647,2022,5,46.41
51,71464,100537,2022,5,13.48
54,72231,6054456,2022,5,9.09
21,65334,6068308,2022,5,55.64
39,68627,6119309,2022,5,28.26
15,63800,6010151,2022,5,12.96
37,68411,126086,2022,5,35.46
19,64816,6105407,2022,5,16.36
19,65151,6106561,2022,5,6.77
19,65094,6023527,2022,5,44.44
33,67090,136721,2022,5,32
34,10348,136275,2022,5,8.62
37,68296,129056,2022,5,71.64
7,61663,130930,2022,5,32.39
41,68916,112284,2022,5,38.75
37,73791,131433,2022,5,60.15
16,63891,6010367,2022,5,9.54
33,67082,107631,2022,5,15.5
49,70912,128074,2022,5,14.81
31,66951,135871,2022,5,38.1
19,64733,100867,2022,5,50.76
51,71464,113134,2022,5,26.58
33,67033,6114151,2022,5,20.97
39,68593,113357,2022,5,26.62
19,64733,120022,2022,5,20.47
33,67116,134080,2022,5,41.91
19,64501,6013171,2022,5,36.96
37,68023,6037956,2022,5,12.99
19,64469,6012942,2022,5,30.12
39,77388,127134,2022,5,37.59
30,66670,6110183,2022,5,14.05
34,67439,6059299,2022,5,2.04
39,75499,108357,2022,5,33.33
19,64733,126607,2022,5,69.5
19,64873,102681,2022,5,23.81
33,75192,3330917,2022,5,50.6
19,64733,125641,2022,5,32.81
49,75358,6052369,2022,5,15.5
56,73759,6118582,2022,5,70.43
10,62125,6005979,2022,5,11.57
39,68593,6107429,2022,5,27.56
37,73791,6039069,2022,5,22.73
41,68957,6044093,2022,5,72.87
15,63438,6009435,2022,5,6.72
19,64733,128512,2022,5,24.6
33,10330,138602,2022,5,24.07
37,68338,120410,2022,5,34.07
19,64733,126581,2022,5,25.45
15,63628,137687,2022,5,19.67
37,75416,139386,2022,5,50.59
19,65078,6023345,2022,5,28.7
30,66670,6115836,2022,5,4.76
36,67827,137208,2022,5,8.33
37,68395,6040513,2022,5,34.78
57,72694,6120745,2022,5,50.81
30,66670,108373,2022,5,9.17
6,61598,6057152,2022,5,23.15
19,64733,135517,2022,5,33.06
20,65193,6023931,2022,5,10.82
37,68361,6040349,2022,5,24.56
41,69039,136242,2022,5,32.69
15,63404,127712,2022,5,15.46
19,64501,6013155,2022,5,14.81
33,67124,128868,2022,5,14.29
19,64857,133173,2022,5,11.29
30,66670,6030407,2022,5,22.56
37,68361,6085153,2022,5,39.17
56,72538,6055339,2022,5,15.45
19,64287,6011456,2022,5,41.38
39,68593,6115414,2022,5,13.33
56,72538,6055321,2022,5,5.61
29,66332,6027122,2022,5,34.04
9,10090,136036,2022,5,51.04
19,75713,6011068,2022,5,42.99
33,75242,123190,2022,5,19.67
1,61200,6001234,2022,5,14.29
19,64733,119693,2022,5,5.08
33,67181,138610,2022,5,28.17
34,67447,112169,2022,5,45.77
10,62240,113142,2022,5,27.48
39,68676,6098651,2022,5,20.72
43,69450,129205,2022,5,48.31
10,75408,6007082,2022,5,20.51
39,68676,6042568,2022,5,13.86
39,68593,6042329,2022,5,17.7
56,72538,6055271,2022,5,14.42
34,75283,108860,2022,5,45.05
15,63552,6009666,2022,5,30.56
23,65615,6114581,2022,5,12.87
30,66670,6030415,2022,5,21.21
19,64733,101444,2022,5,12.39
19,64733,121707,2022,5,35.54
37,68361,6040372,2022,5,26.6
49,70839,6051890,2022,5,61.97
58,72751,6056816,2022,5,30.11
15,73544,6010011,2022,5,47.17
19,73452,125005,2022,5,40.98
34,75283,111138,2022,5,43.36
1,75093,136929,2022,5,69.57
19,75713,6011076,2022,5,48.89
43,10439,106534,2022,5,86.4
30,73650,136689,2022,5,60
43,69369,106633,2022,5,57.41
1,61309,101212,2022,5,37.04
33,67199,6105571,2022,5,11.7
39,68544,6041875,2022,5,64.96
39,68593,105973,2022,5,22.12
19,64725,6015267,2022,5,51.72
19,73445,6014179,2022,5,33.33
20,65243,2035640,2022,5,13.79
7,61648,141028,2022,5,9.89
19,64725,6116933,2022,5,15.65
30,73650,133389,2022,5,61.54
33,67033,6031819,2022,5,27.03
52,71522,6111629,2022,5,35.78
56,72538,6055263,2022,5,6.32
30,66506,102582,2022,5,65.05
47,70508,6050975,2022,5,16.98
19,75713,6011001,2022,5,57.45
49,70797,107284,2022,5,33.96
36,67959,114256,2022,5,53.33
37,68338,6040000,2022,5,44.55
16,63875,6010284,2022,5,14.89
30,66464,124743,2022,5,64.93
36,67876,128918,2022,5,33.61
48,70540,6109136,2022,5,24.49
33,75200,102079,2022,5,33.33
39,68593,108613,2022,5,20.39
43,69575,6047765,2022,5,65.31
19,73452,6103352,2022,5,47
24,65763,6025589,2022,5,44.79
33,75200,6117659,2022,5,43.72
34,76505,108795,2022,5,25
19,64725,6015531,2022,5,13.49
19,64733,125625,2022,5,21.78
33,67033,105809,2022,5,37.37
33,75176,6109938,2022,5,29.73
31,66852,127928,2022,5,61.94
33,67173,6032411,2022,5,44.19
39,68676,111344,2022,5,8.11
43,69369,129924,2022,5,35.29
56,72538,119412,2022,5,28.44
56,72538,6100333,2022,5,13
19,64733,1931716,2022,5,25
49,70656,6051650,2022,5,19.79
33,75200,114058,2022,5,53.33
39,76760,137075,2022,5,70
10,75598,6005813,2022,5,4.88
33,67033,100974,2022,5,54.12
10,75127,6006969,2022,5,10.88
39,76760,114645,2022,5,61.22
50,71167,138057,2022,5,24.44
19,64501,6013254,2022,5,19.72
34,67439,6059323,2022,5,13.98
19,75713,6011092,2022,5,34.07
30,66670,6119127,2022,5,31
39,68593,6118509,2022,5,15.05
39,68676,111369,2022,5,6.59
51,71464,6067268,2022,5,30.21
19,64568,1995497,2022,5,26.83
37,68338,140319,2022,5,3.23
39,68593,6042394,2022,5,19.35
19,64857,6119143,2022,5,26.8
33,75176,122960,2022,5,14.71
43,69674,110700,2022,5,63.08
19,64501,6013247,2022,5,14.06
33,75242,112094,2022,5,23.94
37,68023,6116859,2022,5,49.11
37,77164,137356,2022,5,59.57
39,68676,111351,2022,5,12.37
34,67439,3430519,2022,5,15.38
36,67611,129452,2022,5,24.47
39,68593,6108237,2022,5,20.93
56,72538,100362,2022,5,11.11
19,64733,100669,2022,5,15.79
19,64733,6112536,2022,5,15.71
19,64881,6120265,2022,5,8.2
31,66829,6111702,2022,5,60.22
1,75093,131615,2022,5,77.3
19,64907,6108914,2022,5,8.51
30,66621,6058945,2022,5,54.84
39,76760,106484,2022,5,45.05
10,62166,6120125,2022,5,16.67
19,64733,121848,2022,5,29.55
33,67058,3330909,2022,5,24.53
39,68676,6115422,2022,5,24.73
39,75499,6042865,2022,5,7.81
39,76760,121046,2022,5,58.82
48,70540,140210,2022,5,23.08
54,75325,106021,2022,5,11.96
19,65102,6023568,2022,5,40.74
39,68593,6109532,2022,5,30.43
43,69666,129718,2022,5,13.79
45,69971,6111470,2022,5,42.86
49,75358,6107221,2022,5,27.32
15,10157,124040,2022,5,10.59
30,73650,6115786,2022,5,57.61
57,72694,114710,2022,5,31.03
19,64725,6112056,2022,5,15.48
36,67678,6102974,2022,5,51.28
39,75499,6118699,2022,5,35.79
42,69112,111773,2022,5,48.15
43,69450,6115943,2022,5,16.46
45,69955,6050207,2022,5,40.54
15,63321,6116719,2022,5,23.89
19,75309,135145,2022,5,22.58
30,66506,6028013,2022,5,62.65
39,68676,6042691,2022,5,6.32
39,75499,6118665,2022,5,25
19,64501,6013296,2022,5,24.56
19,64857,124156,2022,5,11.36
24,65862,6111991,2022,5,20.11
37,68395,6040505,2022,5,22.08
39,68577,6041990,2022,5,28.13
9,61929,6005615,2022,5,32.1
19,64733,106351,2022,5,17.74
36,67702,6118467,2022,5,68.54
19,64568,6013841,2022,5,31.07
19,64733,126169,2022,5,8.05
30,73650,6085344,2022,5,66.1
41,69005,132068,2022,5,18.39
