Academic Year,County Code,District Code,School Code,School Name,"Percent (%) 
 Eligible FRPM 
 (K-12)"
2021-2022,1,10017,130419,Alameda County Community,0.83
2021-2022,1,10017,136226,Opportunity Academy,0.38
2021-2022,3,10033,330035,County Community,0.75
2021-2022,4,10041,129817,Butte County Community,0.97
2021-2022,5,10058,530048,Calaveras River Academy,0.69
2021-2022,5,10058,9010745,Oakendell Community,1.00
2021-2022,6,10066,630111,S. William Abel Academy,0.90
2021-2022,7,10074,730614,Golden Gate Community,0.91
2021-2022,8,10082,830042,Del Norte Community,1.00
2021-2022,9,10090,123521,Charter Alternative Program (CAP),0.23
2021-2022,9,10090,930123,Charter Community School Home Study Academy,0.30
2021-2022,10,10108,1030899,Violet Heintz Education Academy,1.00
2021-2022,11,10116,1130103,William Finch,0.68
2021-2022,12,10124,106153,Eel River Community,0.86
2021-2022,12,10124,106161,Eureka Community,1.00
2021-2022,12,10124,106179,Southern Humboldt Community,1.00
2021-2022,13,10132,131094,Valley Academy,0.94
2021-2022,14,10140,1430073,Jill Kinmont Boothe,0.86
2021-2022,15,10157,1530310,Kern County Community,0.92
2021-2022,17,10173,1730167,Lloyd Hance Community,0.50
2021-2022,19,10199,1996214,Renaissance County Community,0.80
2021-2022,20,10207,117184,Madera County Independent Academy,0.80
2021-2022,20,10207,2030229,Pioneer Technical Center,0.66
2021-2022,21,10215,2130037,Marin's Community,0.73
2021-2022,21,10215,2130102,Phoenix Academy,0.67
2021-2022,23,10231,2330447,Mendocino County Community,1.00
2021-2022,24,10249,2430171,Valley Atwater Community,0.90
2021-2022,24,10249,2430163,Valley Los Banos Community,0.89
2021-2022,24,10249,2430148,Valley Merced Community,0.90
2021-2022,26,10264,2630028,Jan Work Community,0.67
2021-2022,26,10264,128645,Sawtooth Ridge Community,0.50
2021-2022,27,10272,116491,Open Door Charter,0.82
2021-2022,27,10272,2730265,Salinas Community,0.85
2021-2022,28,10280,2830099,Napa County Community,0.86
2021-2022,29,10298,116681,Earle Jamieson Educational Options,0.71
2021-2022,30,10306,3030764,ACCESS County Community,0.84
2021-2022,31,10314,3130259,Placer County Community Schools,0.60
2021-2022,31,10314,126904,Placer County Pathways Charter,0.39
2021-2022,32,10322,100057,Plumas County Community,0.55
2021-2022,33,10330,128397,Come Back Kids,0.55
2021-2022,33,10330,125237,Leadership Military Academy,0.83
2021-2022,33,10330,3331055,Riverside County Community,0.77
2021-2022,34,10348,106237,Elinor Lincoln Hickey Jr./Sr. High,0.59
2021-2022,34,10348,118745,Nathaniel S. Colley Sr. High,0.72
2021-2022,34,10348,106245,North Area Community,0.74
2021-2022,36,10363,107466,Community School/Independent Alternative Education,0.80
2021-2022,37,10371,120493,Monarch,1.00
2021-2022,37,10371,128520,San Diego County Community,0.95
2021-2022,38,10389,3830445,S.F. County Civic Center Secondary,0.92
2021-2022,39,10397,120717,one.Charter,0.61
2021-2022,39,10397,3930468,San Joaquin County Community,0.81
2021-2022,39,10397,3930476,Venture Academy,0.61
2021-2022,40,10405,4030250,San Luis Obispo County Community,0.91
2021-2022,41,10413,117143,Canyon Oaks Youth Center,1.00
2021-2022,41,10413,113332,Gateway Center,0.40
2021-2022,42,10421,4230207,Santa Barbara County Community,0.75
2021-2022,43,10439,4330320,Santa Clara County Community,0.49
2021-2022,44,10447,4430278,Santa Cruz County Community,0.45
2021-2022,48,10488,6089668,Solano County Community,0.71
2021-2022,49,10496,4930343,Sonoma County Alternative Education Programs,0.72
2021-2022,50,10504,131235,John B Allard,0.86
2021-2022,50,10504,5030226,Petersen Alternative Center for Education,0.86
2021-2022,50,10504,129023,Stanislaus Alternative Charter,0.52
2021-2022,50,10504,5030085,Stanislaus Military Academy at Teel,0.82
2021-2022,51,10512,114207,Feather River Academy,0.66
2021-2022,51,10512,140152,Pathways Charter Academy,0.75
2021-2022,53,10538,125633,California Heritage Youthbuild Academy II,0.82
2021-2022,53,10538,132423,R.I.S.E. Academy,1.00
2021-2022,54,10546,5430343,Tulare County Community,0.42
2021-2022,55,10553,5530118,Tuolumne County Community/ISP,0.66
2021-2022,56,10561,5630397,Gateway Community,0.65
2021-2022,57,10579,113787,Cesar Chavez Community,0.84
2021-2022,58,10587,113274,Thomas E. Mathews Community,1.00
2021-2022,1,61259,106542,Community Day,1.00
2021-2022,4,61424,111039,Academy for Change,0.67
2021-2022,4,61523,6115034,Palermo Union Community Day (K-8),1.00
2021-2022,4,61549,6121016,Heritage Community Day,1.00
2021-2022,7,61754,730655,Diablo Community Day,0.67
2021-2022,10,62117,101949,Clovis Community Day Elementary,1.00
2021-2022,10,62117,110270,Clovis Community Day Secondary,0.85
2021-2022,10,62125,1030873,Miles W. Culwell Community Day,0.67
2021-2022,10,62166,6120703,Phoenix Elementary Academy Community Day,0.90
2021-2022,10,62166,120964,Phoenix Secondary,0.97
2021-2022,10,62414,1030824,Community Day,0.93
2021-2022,10,73809,123950,Firebaugh Community Day,1.00
2021-2022,10,73965,114751,Pathway Community Day,0.67
2021-2022,10,73965,125682,Pathway Elementary Community Day,1.00
2021-2022,10,75127,1030725,Mendota Community Day,1.00
2021-2022,11,75481,1130145,Orland Community Day,0.33
2021-2022,13,63214,120881,San Pasqual Vocational Academy,0.60
2021-2022,14,76687,125047,CDS Bishop High,1.00
2021-2022,14,76687,110031,CDS Home Street,0.75
2021-2022,15,63321,138149,Rafer Johnson,0.79
2021-2022,16,63891,122820,Mission Community Day,1.00
2021-2022,16,63917,6118459,Hanford Elementary Community Day,0.86
2021-2022,16,63974,128702,Bridges Academy,1.00
2021-2022,16,73932,1630185,Reef-Sunset Secondary Community Day,0.67
2021-2022,17,64022,6057434,Highlands Academy,0.75
2021-2022,17,64030,114215,Lakeport Community Day,0.90
2021-2022,19,64303,1995679,Bellflower Alternative Education Center,0.75
2021-2022,19,64337,1996230,Burbank USD Community Day,0.54
2021-2022,19,64378,1995927,Bridges Community Day,0.91
2021-2022,19,64451,135335,Woodruff Academy,0.75
2021-2022,19,64477,122929,Eastside Academy/Transitional Learning Center,0.50
2021-2022,19,64568,1996156,Jewel City Community Day,0.33
2021-2022,19,64667,6117022,RISE,1.00
2021-2022,19,64733,102137,Aggeler Community Day,1.00
2021-2022,19,64733,120808,Dorothy V. Johnson Community Day,1.00
2021-2022,19,64733,116954,Jack London Community Day,0.98
