School Code,Academic Year,District Name,School Name,School Type,"Educational 
Option Type","Charter 
School 
(0=No, 1 = Yes)","Percent (%) 
Eligible FRPM 
(K-12)"
6007033,2019,Parlier Unified,Mathew J Brletic Elementary,Elementary Schools (Public),Traditional,0,100
6006647,2019,Golden Plains Unified,Helm Elementary,Elementary Schools (Public),Traditional,0,100
1030774,2019,Washington Unified,W.E.B. DuBois Public Charter,K-12 Schools (Public),Traditional,1,100
1132109,2019,Stony Creek Joint Unified,Elk Creek Junior-Senior High,High Schools (Public),Traditional,0,100
6007553,2019,Stony Creek Joint Unified,Indian Valley Elementary,Elementary Schools (Public),Traditional,0,100
6008742,2019,Death Valley Unified,Shoshone Elementary,Elementary Schools (Public),Traditional,0,100
6010227,2019,Vineland Elementary,Sunset,Intermediate/Middle Schools (Public),Traditional,0,100
6010789,2019,Ravendale-Termo Elementary,Juniper Ridge Elementary,Elementary Schools (Public),Traditional,0,100
1930601,2019,Baldwin Park Unified,Baldwin Park High,High Schools (Public),Traditional,0,100
1938166,2019,Baldwin Park Unified,Sierra Vista High,High Schools (Public),Traditional,0,100
6011373,2019,Baldwin Park Unified,Charles Bursch Elementary,Elementary Schools (Public),Traditional,0,100
6011381,2019,Baldwin Park Unified,Central Elementary,Elementary Schools (Public),Traditional,0,100
6011399,2019,Baldwin Park Unified,Charles D. Jones Junior High,Intermediate/Middle Schools (Public),Traditional,0,100
6011407,2019,Baldwin Park Unified,De Anza Elementary,Elementary Schools (Public),Traditional,0,100
6011415,2019,Baldwin Park Unified,Elwin Elementary,Elementary Schools (Public),Traditional,0,100
6011423,2019,Baldwin Park Unified,Foster Elementary,Elementary Schools (Public),Traditional,0,100
6011431,2019,Baldwin Park Unified,Ernest R. Geddes Elementary,Elementary Schools (Public),Traditional,0,100
6011449,2019,Baldwin Park Unified,Kenmore Elementary,Elementary Schools (Public),Traditional,0,100
6011456,2019,Baldwin Park Unified,Jerry D. Holland Middle,Intermediate/Middle Schools (Public),Traditional,0,100
6011464,2019,Baldwin Park Unified,Margaret Heath Elementary,Elementary Schools (Public),Traditional,0,100
6011480,2019,Baldwin Park Unified,Pleasant View Elementary,Elementary Schools (Public),Traditional,0,100
6011498,2019,Baldwin Park Unified,Tracy Elementary,Elementary Schools (Public),Traditional,0,100
6096135,2019,Baldwin Park Unified,Sierra Vista Junior High,Intermediate/Middle Schools (Public),Traditional,0,100
100289,2019,Los Angeles Unified,N.E.W. Academy of Science and Arts,Elementary Schools (Public),Traditional,1,100
134023,2019,Los Angeles Unified,Animo Florence-Firestone Charter Middle,Intermediate/Middle Schools (Public),Traditional,1,100
6117667,2019,Los Angeles Unified,Camino Nuevo Charter Academy,Elementary Schools (Public),Traditional,1,100
100180,2019,Chawanakee Unified,Mountain Oaks High,High Schools (Public),Traditional,0,100
2230084,2019,Mariposa County Unified,Yosemite Park High,High Schools (Public),Traditional,0,100
6116149,2019,Mendocino Unified,Albion Elementary,Elementary Schools (Public),Traditional,0,100
124347,2019,San Diego Unified,City Heights Preparatory Charter,K-12 Schools (Public),Traditional,1,100
6050389,2019,Indian Springs Elementary,Indian Springs Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050744,2019,Forks of Salmon Elementary,Forks of Salmon Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6050769,2019,Gazelle Union Elementary,Gazelle Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6054100,2019,Hot Springs Elementary,Hot Springs Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
5530100,2019,Summerville Union High,Cold Springs High,High Schools (Public),Traditional,0,100
5530175,2019,Summerville Union High,Mountain High,High Schools (Public),Traditional,0,100
0115386,2021,Oakland Unified,Civicorps Corpsmember Academy,High Schools (Public),Traditional,0,100
0121210,2021,Oakland Unified,Infant and Preschool Program,Preschool,Traditional,0,100
6002927,2021,Pioneer Union Elementary,Berry Creek Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6005763,2021,Big Creek Elementary,Big Creek Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6008007,2021,Klamath-Trinity Joint Unified,Weitchpec Elementary,Elementary Schools (Public),Traditional,0,100
6009419,2021,Di Giorgio Elementary,Di Giorgio Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,100
6010235,2021,Vineland Elementary,Vineland Elementary,Elementary Schools (Public),Traditional,0,100
0128991,2021,Inglewood Unified,Grace Hopper STEM Academy,Intermediate/Middle Schools (Public),Traditional,0,100
6014955,2021,Lennox,Felton Elementary,Elementary Schools (Public),Traditional,0,100
6015812,2021,Los Angeles Unified,Ann Street Elementary,Elementary Schools (Public),Traditional,0,100
6016612,2021,Los Angeles Unified,Compton Avenue Elementary,Elementary Schools (Public),Traditional,0,100
6017990,2021,Los Angeles Unified,Magnolia Avenue Elementary,Elementary Schools (Public),Traditional,0,100
0131847,2021,Los Angeles Unified,Public Policy Charter,Intermediate/Middle Schools (Public),Traditional,0,100
