School Code,Academic Year,District Name,School Name,School Type,"Educational 
Option Type","Charter 
School 
(Y/N)","Percent (%) 
Eligible FRPM 
(K-12)"
112607,2019,Alameda County Office of Education,Envision Academy for Arts & Technology,High Schools (Public),Traditional,Yes,0.80
123968,2019,Alameda County Office of Education,Community School for Creative Education,Elementary Schools (Public),Traditional,Yes,0.50
124172,2019,Alameda County Office of Education,Yu Ming Charter,Elementary Schools (Public),Traditional,Yes,0.14
125567,2019,Alameda County Office of Education,Urban Montessori Charter,Elementary Schools (Public),Traditional,Yes,0.30
131581,2019,Alameda County Office of Education,Oakland Unity Middle,Intermediate/Middle Schools (Public),Traditional,Yes,0.77
136101,2019,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12 Schools (Public),Traditional,Yes,0.13
137448,2019,Alameda County Office of Education,Aurum Preparatory Academy,Junior High Schools (Public),Traditional,Yes,0.89
6001788,2019,Alameda County Office of Education,Cox Academy,Elementary Schools (Public),Traditional,Yes,0.90
6002000,2019,Alameda County Office of Education,Lazear Charter Academy,Elementary Schools (Public),Traditional,Yes,0.89
111765,2019,Alameda Unified,Ruby Bridges Elementary,Elementary Schools (Public),Traditional,No,0.63
119222,2019,Alameda Unified,Nea Community Learning Center,K-12 Schools (Public),Traditional,Yes,0.35
122085,2019,Alameda Unified,The Academy of Alameda,Intermediate/Middle Schools (Public),Traditional,Yes,0.48
130229,2019,Alameda Unified,Alameda High,High Schools (Public),Traditional,No,0.21
130609,2019,Alameda Unified,Alameda Community Learning Center,K-12 Schools (Public),Traditional,Yes,0.27
130625,2019,Alameda Unified,Alternatives in Action,High Schools (Public),Traditional,Yes,0.95
131805,2019,Alameda Unified,The Academy of Alameda Elementary,Elementary Schools (Public),Traditional,Yes,0.45
132142,2019,Alameda Unified,Encinal Junior/Senior High,K-12 Schools (Public),Traditional,No,0.40
6090005,2019,Alameda Unified,Donald D. Lum Elementary,Elementary Schools (Public),Traditional,No,0.27
6090013,2019,Alameda Unified,Edison Elementary,Elementary Schools (Public),Traditional,No,0.13
6090021,2019,Alameda Unified,Frank Otis Elementary,Elementary Schools (Public),Traditional,No,0.16
6090039,2019,Alameda Unified,Franklin Elementary,Elementary Schools (Public),Traditional,No,0.21
6090047,2019,Alameda Unified,Henry Haight Elementary,Elementary Schools (Public),Traditional,No,0.46
6090054,2019,Alameda Unified,Lincoln Middle,Intermediate/Middle Schools (Public),Traditional,No,0.15
6090112,2019,Alameda Unified,Will C. Wood Middle,Intermediate/Middle Schools (Public),Traditional,No,0.44
6090120,2019,Alameda Unified,William G. Paden Elementary,Elementary Schools (Public),Traditional,No,0.46
6100374,2019,Alameda Unified,Amelia Earhart Elementary,Elementary Schools (Public),Traditional,No,0.12
6110779,2019,Alameda Unified,Bay Farm,Elementary Schools (Public),Traditional,No,0.10
130450,2019,Albany City Unified,Albany High,High Schools (Public),Traditional,No,0.18
6090146,2019,Albany City Unified,Cornell Elementary,Elementary Schools (Public),Traditional,No,0.14
6090161,2019,Albany City Unified,Albany Middle,Intermediate/Middle Schools (Public),Traditional,No,0.22
